id,design,varied,bottle,fill,pitch,approach,yaw,dx,dy,neck_mm,bottle_d_mm,liquid_mm,liquid_g,dive_target_mm,diverged,wall_s,sim_s,contacts_pads_bottle,contacts_blades_cap,contacts_pipette_bottle,contacts_pipette_clamp,contacts_rig_floor,contacts_pads_floor,contacts_pipette_floor,contacts_rig_bottle,table_hit_s,thread_released_s,thread_reengaged_s,slip_mm,tilt_in_hand_deg,track_worst,pad_height_mm,pad_planned_mm,lift_mm,cap_rise_mm,blade_contacts,cap_off_axis_mm,cap_to_seat_mm,tip_off_axis_mm,tip_height_mm,tip_submerged_mm,bottle_tilt_dive_deg,liquid_to_shoulder_mm,recap_lift_mm,cap_end_mm,placed_error_mm,placed_tilt_deg,placed_z_mm,ok_table,ok_grip,ok_lift,ok_uncap,ok_cap_away,ok_reach_liquid,ok_recap,ok_place,first_failure,success,blade_slip_turns,error
A-10ml-f0.25-p+0.0-side-y0-x+0.0-y+0.0,A,approach,10,0.25,0,side,0,0,0,18,22.01284832596418,9.071233030783917,2.240207798703662,42.75528824620785,False,11.89,28.4,12,0,0,0,6416,0,0,0,0.0025,2.8965000000001346,,0.8036857646525708,0.003770360606171149,134.56458363425668,33.456096786629324,5.720514774164916,11.005801626123427,7.192824240240779,0,0.33688794922498594,270.8594882805061,93.5334916114969,-22.1988052477048,-93.53416843224244,90.00160536131644,334303.569621697,,7.2006712522531675,22.196821372761633,90.00160541039635,11.005788707437809,False,False,False,True,False,False,False,False,table,False,-7.98092159538511e-07,
A-10ml-f0.25-p-20.0-above-y0-x+0.0-y+0.0,A,pitch,10,0.25,-20,above,0,0,0,18,22.01284832596418,9.071233030783917,2.240207798703662,42.75528824620785,False,37.09,28.4,0,0,0,0,4077,0,0,0,0.4925000000000004,,,0.7994892796545671,0.005039502568414035,78.24877402594188,84.0211567743026,5.720514774164916,-0.0016072869047173114,-0.20010053236112213,0,1.4822371816376448e-07,198.90585293780742,0.40355769941124986,104.61236053406765,-94.16532458378276,1.4311854260314507e-05,22.529621885653654,,0.20010053236131417,1.2447602743458248e-07,1.4463842815886967e-05,-0.001607286904774201,False,False,False,False,False,False,False,True,table,False,,
A-10ml-f0.25-p+10.0-above-y0-x+0.0-y+0.0,A,pitch,10,0.25,10,above,0,0,0,18,22.01284832596418,9.071233030783917,2.240207798703662,42.75528824620785,False,37.79,28.4,116256,249,10746,0,4234,0,0,0,1.302499999999912,,,128.85266082174286,91.64773658436111,9.95908873287116,15.581158212452657,5.720514774164916,89.33598017339254,-0.20010333473810538,249,0.0006735960168489815,132.13384980376452,6.9715870687345065,45.13920707086871,-35.01316992093875,3.0478855026908036,22.030914491636086,,0.011573549149887653,100.69064802987786,90.00209593761731,11.005847749546827,False,False,False,False,False,False,False,False,table,False,,
A-10ml-f0.25-p+0.0-above-y0-x-6.0-y+0.0,A,dx,10,0.25,0,above,0,-6,0,18,22.01284832596418,9.071233030783917,2.240207798703662,42.75528824620785,False,42.29,28.4,619,0,0,0,5981,0,0,7502,1.0424999999999407,,,69.39174277908025,99.48226985450901,28.6010205963148,23.186591468142304,5.720514774164916,64.18857626598508,-0.017494957452020288,0,0.0035120690900701454,237.43566793580513,99.89846546703664,-13.498509000039281,-93.53419885354218,90.00209559367687,256103.58973455566,,0.02253199670509945,57.92863803921551,90.00209632344165,11.15782634295191,False,False,False,False,False,False,False,False,table,False,,
A-10ml-f0.25-p+0.0-above-y270-x+0.0-y+0.0,A,yaw,10,0.25,0,above,270,0,0,18,22.01284832596418,9.071233030783917,2.240207798703662,42.75528824620785,False,44.89,28.4,222141,0,5701,0,5983,0,0,0,1.0424999999999407,,,0.8329895965761339,1.902139069140232,28.61267624370294,34.2655972251461,5.720514774164916,70.65511709064569,-0.20010890300772854,0,0.00017734543190395046,148.82050486955623,0.2546831529528995,34.217666647700625,-23.76980080346125,0.17671449994668453,22.500736533754722,,0.2001084549032972,0.7134914030431507,0.11530701407677935,0.011273912300726578,False,False,False,False,False,False,False,True,table,False,,
A-10ml-f0.25-p+0.0-diagonal-y0-x+0.0-y+0.0,A,approach,10,0.25,0,diagonal,0,0,0,18,22.01284832596418,9.071233030783917,2.240207798703662,42.75528824620785,False,48.51,28.4,63296,0,0,0,4343,0,0,0,0.902499999999956,,,0.2744397300315567,0.6796594695905318,28.544783325449853,33.21924782175492,5.720514774164916,72.02664840410452,-0.19946566317503162,0,0.006739083266200426,161.45659932310454,20.708085632733237,31.762865993103137,-21.316359573958415,0.020298287465958118,22.52630605477472,,0.19952014863668172,20.394767484930316,0.14579757544440175,0.01622949118572947,False,False,False,False,False,False,False,False,table,False,,
A-10ml-f0.25-p+0.0-above-y0-x+6.0-y+0.0,A,dx,10,0.25,0,above,0,6,0,18,22.01284832596418,9.071233030783917,2.240207798703662,42.75528824620785,False,51.15,28.4,126653,0,13796,0,6076,0,0,0,1.0424999999999407,,,4.736718508290183,11.267584687854011,28.75564880748873,34.2577693773403,5.720514774164916,70.79334236514734,-0.19945010647431233,0,0.006531622043013722,152.37415387198075,2.9595262750004565,37.133711691213215,-25.44457377637607,12.293724718626757,20.488544085737136,,0.2000705100414605,3.213677815324167,0.6975272443192858,0.10881388906315095,False,False,False,False,False,False,False,True,table,False,,
A-10ml-f0.25-p+0.0-above-y0-x+3.0-y+0.0,A,dx,10,0.25,0,above,0,3,0,18,22.01284832596418,9.071233030783917,2.240207798703662,42.75528824620785,False,63.08,28.4,180284,0,7045,0,5982,0,0,0,1.0424999999999407,,,1.5907805670705417,3.9364138816768572,28.63289750946185,34.25932956120129,5.720514774164916,70.71794840170995,-0.20011424358179486,0,0.00019502054780663243,150.68899115904082,1.3598126252198766,35.63485760042496,-24.973051337715184,5.008815113475093,21.70873871478613,,0.19981542519243176,0.49155928926132975,1.3418106104862006e-05,-0.0016072729259577097,False,False,False,False,False,False,False,True,table,False,,
A-10ml-f0.50-p-20.0-above-y0-x+0.0-y+0.0,A,pitch,10,0.5,-20,above,0,0,0,18,22.01284832596418,18.142466061567834,4.480415597407324,47.89775430777567,False,37.69,28.4,0,0,0,0,4077,0,0,0,0.4925000000000004,,,0.7994892796525866,0.0050393816453041165,78.24877402594188,84.02115448136848,5.720514774164916,-0.001604974947850096,-0.20009986897910614,0,1.800038479559638e-07,198.90585104176554,1.3509847538772066,109.43292094770646,-89.91465157023195,1.2518779069552075e-05,13.458389147984555,,0.2000998689790201,1.129020365114368e-07,1.319902026398418e-05,-0.0016049749478597383,False,False,False,False,False,False,False,True,table,False,,
A-10ml-f0.25-p+0.0-above-y0-x+0.0-y-6.0,A,dy,10,0.25,0,above,0,0,-6,18,22.01284832596418,9.071233030783917,2.240207798703662,42.75528824620785,False,64.45,28.4,123717,0,7053,0,5981,0,0,0,1.0424999999999407,,,4.094903634782127,8.183186081930598,28.568139891245092,33.117195387421944,5.720514774164916,71.96588139905411,-0.19996890620489066,0,0.004518672615673743,148.23829936298526,0.2200578133077945,33.70984433763437,-23.26005663507548,0.6676030924532537,22.420485904214807,,0.20008956006156117,5.974733617033764,0.07583994481296266,0.004819281716337574,False,False,False,False,False,False,False,True,table,False,,
