id,design,varied,bottle,fill,pitch,approach,yaw,dx,dy,neck_mm,bottle_d_mm,liquid_mm,liquid_g,dive_target_mm,diverged,wall_s,sim_s,contacts_pads_bottle,contacts_blades_cap,contacts_pipette_bottle,contacts_pipette_clamp,contacts_rig_floor,contacts_pads_floor,contacts_pipette_floor,contacts_rig_bottle,contacts_clamp_rig,contacts_clamp_pads,contacts_pipette_rig,table_hit_s,thread_released_s,thread_reengaged_s,slip_mm,tilt_in_hand_deg,track_worst,pad_height_mm,pad_planned_mm,lift_mm,cap_rise_mm,blade_contacts,cap_off_axis_mm,cap_to_seat_mm,tip_off_axis_mm,tip_height_mm,tip_submerged_mm,bottle_tilt_dive_deg,liquid_to_shoulder_mm,recap_lift_mm,cap_end_mm,placed_error_mm,placed_tilt_deg,placed_z_mm,ok_table,ok_rig_clear,ok_grip,ok_lift,ok_uncap,ok_cap_away,ok_reach_liquid,ok_recap,ok_place,first_failure,success,blade_slip_turns,seated,seat_torque_Nm,seat_extra_turns,seat_hold_s,error
A-10ml-f0.25-p+0.0-above-y0-x-3.0-y+0.0,A,dx,10,0.25,0,above,0,-3,0,18,22.01284832596418,9.071233030783917,2.240207798703662,42.75528824620785,False,27.26,28.4,9645,0,0,0,4562,0,0,335,0,0,1598,1.2099999999999222,,,0.8341610963350845,0.8383440396932116,55.95571578433637,19.945028936501316,4.720514774164915,0.002396252668903792,-0.19990673616995802,0,0.006104673236568724,201.5471699285258,26.466346882178588,117.91546569456402,-107.50510847182106,0.08091139792704874,22.51639759332244,,0.08850839091933382,23.906938961651623,90.00414907609247,11.033739846359884,False,False,False,False,False,False,False,False,False,table,False,,False,,,0.0,
A-10ml-f0.25-p+0.0-above-y0-x-6.0-y+0.0,A,dx,10,0.25,0,above,0,-6,0,18,22.01284832596418,9.071233030783917,2.240207798703662,42.75528824620785,False,33.26,28.4,591,0,0,0,5964,0,0,43119,0,0,1608,1.2099999999999222,,,62.942073830610425,1.5948095522833807,16.381455339042343,19.61246725521864,4.720514774164915,61.620050593381926,-0.19964646392969798,0,0.006581084340393908,141.1012994287199,32.16544508097975,54.96999625806889,-44.55505065331965,0.05724563534039499,22.52026625199943,,0.19950298168519712,35.342795378317525,0.06836393645321832,0.003595099981375244,False,False,False,False,False,False,False,False,False,table,False,,False,,,0.0,
A-10ml-f0.25-p+0.0-above-y0-x+0.0-y+3.0,A,dy,10,0.25,0,above,0,0,3,18,22.01284832596418,9.071233030783917,2.240207798703662,42.75528824620785,False,40.43,28.4,217158,0,4886,0,6027,0,0,0,0,0,0,1.2099999999999222,,,0.18184638949842424,0.6283390564747816,15.326736732294385,19.852169281149624,4.720514774164915,84.07871897558299,-0.1992442798651392,0,0.006378799630725465,138.38688863599276,0.11443120768450728,20.471374545689272,-10.02252267042049,0.6521957267017378,22.423004887463787,,0.1972987408346241,2.987190206744813,5.663293681020318e-06,-0.001607276469276221,False,True,False,False,False,False,False,False,True,table,False,,False,,,0.0,
A-10ml-f0.25-p-5.0-above-y0-x+0.0-y+0.0,A,pitch,10,0.25,-5,above,0,0,0,18,22.01284832596418,9.071233030783917,2.240207798703662,42.75528824620785,False,43.62,28.4,233007,0,8266,0,2743,0,0,0,0,0,0,1.0499999999999399,,,0.1329522895440987,0.15430514825060196,25.943095182538304,30.609323011053476,4.720514774164915,73.30795211450811,-0.1992308563106837,0,0.007101227053806266,146.89332837951642,0.9009896793828263,31.619493867040756,-21.190474187501042,1.8410156135869933,22.22856894814034,,0.1988152365147789,0.021822162657975916,1.1164539134006841e-05,-0.0016072495775659565,False,True,False,False,False,False,False,False,True,table,False,,False,,,0.0,
A-10ml-f0.25-p+0.0-diagonal-y0-x+0.0-y+0.0,A,approach,10,0.25,0,diagonal,0,0,0,18,22.01284832596418,9.071233030783917,2.240207798703662,42.75528824620785,False,51.31,28.4,155111,0,6126,0,4680,0,0,0,0,0,0,1.1174999999999324,,,0.5650068917433487,1.4695817081136802,15.342113659319232,19.65686850670174,4.720514774164915,84.56727453939182,-0.19227864535065198,0,0.006958836224315751,148.12102128321018,15.101957862680983,23.59969576770586,-12.797935615384878,1.333259447744599,22.31163634857366,,0.2001199780534355,15.338176520532802,1.4514151986277136e-05,-0.001607286918753034,False,True,False,False,False,False,False,False,False,table,False,,False,,,0.0,
A-10ml-f0.25-p-20.0-above-y0-x+0.0-y+0.0,A,pitch,10,0.25,-20,above,0,0,0,18,22.01284832596418,9.071233030783917,2.240207798703662,42.75528824620785,False,53.04,28.4,0,0,0,0,3699,0,0,0,0,0,1598,0.6499999999999838,,,0.8024797388117573,0.005053634276955448,64.82793034689466,69.60009422206096,4.720514774164915,-0.0016072869046784757,-0.2001005323612401,0,1.4823624923550833e-07,199.07615501009704,4.524036129747985,117.16231435731639,-106.71527710500779,1.5177012312529227e-05,22.52962174422587,,0.20010053236129335,1.244759665422047e-07,1.4463842815886967e-05,-0.0016072869047734238,False,False,False,False,False,False,False,False,True,table,False,,False,,,0.0,
A-10ml-f0.25-p+0.0-above-y270-x+0.0-y+0.0,A,yaw,10,0.25,0,above,270,0,0,18,22.01284832596418,9.071233030783917,2.240207798703662,42.75528824620785,False,58.62,28.4,232874,0,7299,0,6027,0,0,0,0,0,0,1.2099999999999222,,,0.23639270743313703,0.7891960580884905,15.336421214636898,19.956863844781335,4.720514774164915,83.96782691593019,-0.19919799724912868,0,0.007133312656019966,138.40073267998838,0.05623107146632747,20.715365976395443,-10.268136480383646,0.44378243333160244,22.457077457781864,,0.2001115215911377,0.14369376767706377,1.5032236230862699e-05,-0.001607286886738629,False,True,False,False,False,False,False,False,True,table,False,,False,,,0.0,
A-10ml-f0.25-p+0.0-side-y0-x+0.0-y+0.0,A,approach,10,0.25,0,side,0,0,0,18,22.01284832596418,9.071233030783917,2.240207798703662,42.75528824620785,False,63.26,28.4,155108,0,6216,0,6350,0,0,0,0,0,0,0.0025,,,0.5618320413374123,1.4870978999778712,112.34514350388875,19.656717141084478,4.720514774164915,84.56744912313967,-0.19235025002207334,0,0.007059760353665831,148.12279119476068,15.093350404812304,23.617643921679576,-12.809024819991924,1.3595295414951065,22.307339592048578,,0.20010274091770572,15.343548663300336,1.4286365630539095e-05,-0.001607286920005645,False,True,False,False,False,False,False,False,False,table,False,,False,,,0.0,
A-10ml-f0.25-p+0.0-above-y180-x+0.0-y+0.0,A,yaw,10,0.25,0,above,180,0,0,18,22.01284832596418,9.071233030783917,2.240207798703662,42.75528824620785,False,65.25,28.4,232857,0,7268,0,6027,0,0,0,0,0,0,1.2099999999999222,,,0.23283842538755917,0.7811588011002094,15.33614361211361,19.956870094608078,4.720514774164915,83.96780511553301,-0.19926124372270093,0,0.0069895997511487855,138.40645549469505,0.05614788154432934,20.709659519356542,-10.26240345813184,0.4502143876706867,22.45602595927479,,0.19879474712039596,0.13761051124385099,1.4837004097464935e-05,-0.001607281598116773,False,True,False,False,False,False,False,False,True,table,False,,False,,,0.0,
A-10ml-f0.25-p+0.0-above-y0-x+0.0-y+6.0,A,dy,10,0.25,0,above,0,0,6,18,22.01284832596418,9.071233030783917,2.240207798703662,42.75528824620785,False,41.76,28.4,213141,0,3823,0,6027,0,0,0,0,0,0,1.2099999999999222,,,0.10679793302630682,0.1210034307411405,15.326738558421802,19.802536814235193,4.720514774164915,84.12429935513508,-0.18974494336492648,0,0.00645513858654399,138.56632725432368,0.2622566765079627,20.114870164705334,-9.662784726980956,0.8671847002079645,22.3878543214668,,0.19685125338377088,5.98632402288808,6.097163388881822e-06,-0.0016072881474630835,False,True,False,False,False,False,False,False,True,table,False,,False,,,0.0,
