id,design,varied,bottle,fill,pitch,approach,yaw,dx,dy,neck_mm,bottle_d_mm,liquid_mm,liquid_g,dive_target_mm,diverged,wall_s,sim_s,contacts_pads_bottle,contacts_blades_cap,contacts_pipette_bottle,contacts_pipette_clamp,contacts_rig_floor,contacts_pads_floor,contacts_pipette_floor,contacts_rig_bottle,contacts_clamp_rig,contacts_clamp_pads,contacts_pipette_rig,table_hit_s,thread_released_s,thread_reengaged_s,slip_mm,tilt_in_hand_deg,track_worst,pad_height_mm,pad_planned_mm,lift_mm,cap_rise_mm,blade_contacts,cap_off_axis_mm,cap_to_seat_mm,tip_off_axis_mm,tip_height_mm,tip_submerged_mm,bottle_tilt_dive_deg,liquid_to_shoulder_mm,recap_lift_mm,cap_end_mm,placed_error_mm,placed_tilt_deg,placed_z_mm,ok_table,ok_rig_clear,ok_grip,ok_lift,ok_uncap,ok_cap_away,ok_reach_liquid,ok_recap,ok_place,first_failure,success,blade_slip_turns,seated,seat_torque_Nm,seat_extra_turns,seat_hold_s,error
A-30ml-f0.25-p+10.0-above-y0-x+0.0-y+0.0,A,pitch,30,0.25,10,above,0,0,0,20,31.74802103936399,12.11256004651333,6.975340422317517,21.48270134647077,False,43.16,28.4,120500,30662,18178,0,0,0,0,0,0,0,0,,9.31249999999989,,4.191119414623453,11.353854481343609,9.808125055618476,40.41716262801586,40.60154996848948,99.1714163267402,3.3126368301834503,30662,90.40596740841534,4.473699138328017,2.2773474467076062,29.243022046193023,-15.314753201176506,9.382419126826555,35.460608259466234,,2.6789317867799793,3.597640320196536,10.245483625141096,100.87468397459095,True,True,True,False,True,True,False,False,False,lift,False,-0.18336412915633446,False,,,0.0,
A-30ml-f0.25-p+0.0-above-y180-x+0.0-y+0.0,A,yaw,30,0.25,0,above,180,0,0,20,31.74802103936399,12.11256004651333,6.975340422317517,21.48270134647077,False,33.57,29.28,81002,83551,18640,0,0,0,0,0,0,0,0,,8.114999999998426,20.159999999998366,0.6131907304459989,0.6128937182529365,9.797905744572288,40.3504496482614,40.60154996848948,99.22701104439247,5.513106617286219,83551,90.0226893433901,0.48578783846087975,0.7031406969806689,9.444443899699525,4.645044248809474,0.5926277050852163,37.63511694383606,0.42497438829763107,0.8904151997999653,0.7075437192925592,7.331524864198132e-05,-0.0015546683923409472,True,True,True,True,True,True,False,True,True,reach_liquid,False,0.10357587998837564,True,0.13493733619805526,0.5809603066352269,0.878,
A-20ml-f0.80-p+0.0-above-y0-x-6.0-y+0.0,A,dx,20,0.8,0,above,0,-6,0,18,27.734450974025386,34.713620775170696,14.7062261925228,51.237702897736995,False,71.82,28.4,105107,8731,20740,0,0,0,0,0,0,0,0,,,,2.5047298940731224,4.256550204438337,9.797855594780184,32.043803395261726,32.30932106331029,99.22480421262324,-4.0189840718573775,8731,0.813922789341433,125.92150894047715,6.972239384115674,58.2692214313106,-22.17640746797883,3.72944585988992,7.612428010988255,,2.651628352569363,0.8367338599147679,1.172719790359192,0.23851173591345917,True,True,True,True,False,False,False,False,True,uncap,False,,False,,,0.0,
A-30ml-f0.25-p+0.0-above-y270-x+0.0-y+0.0,A,yaw,30,0.25,0,above,270,0,0,20,31.74802103936399,12.11256004651333,6.975340422317517,21.48270134647077,False,32.81,29.33,81171,83777,18788,0,0,0,0,0,0,0,0,,8.114499999998426,20.124999999998447,0.5943679991677092,0.5843868736868887,9.797905744464638,40.3504580674488,40.60154996848948,99.22702190579511,5.484971942356774,83777,89.96556363563529,0.45623529725448,0.7731466052598683,9.442185410822987,4.64702385594698,0.5690959199950818,37.640883474525346,0.4165826181684875,0.8337034790201917,0.7001491766955413,5.783016744128528e-05,-0.0015581722179870618,True,True,True,True,True,True,False,True,True,reach_liquid,False,0.1032994123916804,True,0.13052197512351466,0.615965140953387,0.931,
A-30ml-f0.25-p-10.0-above-y0-x+0.0-y+0.0,A,pitch,30,0.25,-10,above,0,0,0,20,31.74802103936399,12.11256004651333,6.975340422317517,21.48270134647077,False,53.47,28.4,91266,15765,23532,0,0,0,0,0,0,0,0,,,,9.875689075845438,11.661967769282127,9.808337854891949,40.318994676682955,40.60154996848948,99.31457296186609,0.4547998680558135,15765,0.9243927944152611,129.2023891993922,0.6011878390557288,9.424591060453384,4.6758671336352835,8.962235425654546,35.56624970518351,,3.9264568484817803,16.373203912488265,9.919501018961638,101.2897488297754,True,True,True,False,False,False,False,False,False,lift,False,,False,,,0.0,
A-30ml-f0.25-p-20.0-above-y0-x+0.0-y+0.0,A,pitch,30,0.25,-20,above,0,0,0,20,31.74802103936399,12.11256004651333,6.975340422317517,21.48270134647077,False,63.06,28.75,94541,12589,7543,0,1326,0,0,0,0,0,0,1.4899999999998914,9.473500000000087,20.56949999999741,9.205835961073683,11.269200745926703,9.80781124702152,42.79070518094221,40.60154996848948,96.89386000279944,0.6896252359283317,12589,1.1236449752960633,130.38416689405076,1.5514237767028785,9.92088930100634,4.393763572929407,20.398526426201226,32.559667365146936,-2.240621042909378,3.4574264817996183,21.16140445590579,19.773097261727763,101.56510320721277,False,True,True,False,True,False,False,False,False,table,False,1.2859531229376435,True,0.2954932518334002,0.2290700655671242,0.351,
A-30ml-f0.25-p-5.0-above-y0-x+0.0-y+0.0,A,pitch,30,0.25,-5,above,0,0,0,20,31.74802103936399,12.11256004651333,6.975340422317517,21.48270134647077,False,66.66,28.4,101632,9889,16796,0,0,0,0,0,0,0,0,,,,8.472885198337158,11.090292215983439,9.80840403525865,40.152886791422866,40.60154996848948,99.88228203419355,-3.6634759858682684,9889,1.5481486090010068,132.12199036499237,1.152794449808711,17.922857985496933,-3.741085805153768,5.274016488385779,36.48439019329824,,3.7229420057299087,18.34793513695053,5.022034816825594,101.05952158057424,True,True,True,False,False,False,False,False,False,lift,False,,False,,,0.0,
A-30ml-f0.25-p+0.0-above-y0-x+0.0-y-3.0,A,dy,30,0.25,0,above,0,0,-3,20,31.74802103936399,12.11256004651333,6.975340422317517,21.48270134647077,False,32.94,29.19,82719,83043,10032,0,0,0,0,0,0,0,0,,8.18349999999851,21.02049999999636,1.1255744902987994,1.2176990042499418,9.797905748584315,40.45988091914129,40.60154996848948,99.12504130051387,5.2966178958222185,83043,89.57116415393156,0.1873127439366726,0.27594873309871515,9.5044410188944,4.5960941065052445,0.9885993073817644,37.53807409054732,0.2219176162518565,0.272802828366241,3.5666940959584856,0.21705957156776742,0.045285839151473384,True,True,True,True,True,True,False,True,True,reach_liquid,False,0.10140252873508825,True,0.11703949839421185,0.5243171467827048,0.793,
A-30ml-f0.25-p+0.0-above-y0-x+0.0-y-6.0,A,dy,30,0.25,0,above,0,0,-6,20,31.74802103936399,12.11256004651333,6.975340422317517,21.48270134647077,False,38.37,31.4,133762,93993,19562,0,0,0,0,0,0,0,0,,8.0109999999983,21.28299999999575,0.7883555259636554,0.537444629655834,9.80838036180734,40.47462519075573,40.60154996848948,99.122235984322,5.743835489447867,93993,88.42092879080076,0.4152338736307291,0.9857393012688901,9.345214858297547,4.759110330582058,0.5906140986661251,37.63561038569041,-0.00820514404577963,0.9997643790722278,16.33957835419807,0.9850886687275435,99.92095155970836,True,True,True,True,True,True,False,True,False,reach_liquid,False,0.11014232615799828,False,,,3.0,
A-30ml-f0.25-p+20.0-above-y0-x+0.0-y+0.0,A,pitch,30,0.25,20,above,0,0,0,20,31.74802103936399,12.11256004651333,6.975340422317517,21.48270134647077,False,67.2,28.4,122791,10564,17513,0,0,0,0,0,0,0,0,,,,10.560686613252912,20.457815623183162,9.80801955360163,40.37256709864183,40.60154996848948,99.19470274934369,-2.4433587536160095,10564,0.9797353856392048,129.93625478721785,2.302494984816911,25.50741126144448,-11.50968425836897,19.527155340101615,32.80135446041157,,0.2000598027556864,9.953273902893189,19.901871155900604,102.76560255109635,True,True,True,False,False,False,False,False,False,lift,False,,False,,,0.0,
A-30ml-f0.25-p+0.0-above-y0-x-3.0-y+0.0,A,dx,30,0.25,0,above,0,-3,0,20,31.74802103936399,12.11256004651333,6.975340422317517,21.48270134647077,False,54.12,31.4,127999,49465,23065,0,0,0,0,0,0,0,0,,9.404000000000002,26.613999999983324,1.1523504779759972,0.6161141154799716,9.79816250014757,40.35945698964556,40.60154996848948,99.20483162700069,0.04899763432224952,49465,79.40912707624237,5.894440987295029,1.5591041611419676,14.094037329560477,0.004469977914048351,0.19887684052741747,37.73160177500943,0.5380205381358466,1.132847287429217,28.527757977360306,90.00041223524273,16.11279512709019,True,True,True,True,True,False,False,True,False,cap_away,False,-0.0024697669746106886,False,,,3.0,
A-30ml-f0.50-p+0.0-above-y0-x+0.0-y+0.0,A,nominal,30,0.5,0,above,0,0,0,20,31.74802103936399,24.22512009302666,13.950680844635034,32.70782143949743,False,31.27,31.4,87763,93904,0,0,0,0,0,0,0,0,0,,8.152999999998473,20.258999999998135,0.7361865482265763,0.7149485354816749,9.797855597234465,40.35123520957155,40.60154996848948,99.22548865430049,5.373936094009414,93904,89.84974890869944,0.2714126193768503,0.09268240512417898,16.117046725830555,10.092715444841957,0.6756081269210651,25.502221905470574,0.12101343309716169,0.6826640781019019,0.8539615030609063,2.960022273089473e-05,-0.001567110379542055,True,True,True,True,True,True,True,True,True,,True,0.10223950973825431,False,,,3.0,
