epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,350.285,0.84454,0.41428,0.00053,0.98517,0.9757,0.99317,0.8571,0.54076,0.28128,0.00077,0.000665755,0.000665755,0.000665755
2,478.028,0.78008,0.30077,0.00043,0.98939,0.97633,0.99362,0.85727,0.52483,0.23509,0.00068,0.00131923,0.00131923,0.00131923
3,606.416,0.79652,0.291,0.00044,0.98906,0.97775,0.9939,0.86012,0.49065,0.21305,0.0007,0.00195951,0.00195951,0.00195951
4,734.726,0.78604,0.27882,0.00044,0.98987,0.97902,0.99408,0.8513,0.52209,0.21738,0.00074,0.0019406,0.0019406,0.0019406
5,860.446,0.76138,0.26552,0.00041,0.99106,0.98158,0.99421,0.86839,0.4851,0.19779,0.00063,0.0019208,0.0019208,0.0019208
6,985.459,0.75334,0.25872,0.00041,0.9904,0.98054,0.99434,0.86611,0.48281,0.19386,0.00063,0.001901,0.001901,0.001901
7,1112.67,0.74536,0.25393,0.0004,0.9907,0.98171,0.99431,0.8758,0.47194,0.1938,0.00063,0.0018812,0.0018812,0.0018812
8,1241.08,0.73771,0.24922,0.00039,0.98973,0.98381,0.9941,0.88072,0.45221,0.17907,0.00061,0.0018614,0.0018614,0.0018614
9,1466.06,0.73486,0.24626,0.0004,0.99169,0.98223,0.99439,0.88142,0.44776,0.17309,0.00058,0.0018416,0.0018416,0.0018416
10,1666.62,0.72383,0.24184,0.00038,0.99205,0.9821,0.99449,0.87867,0.45582,0.17987,0.00058,0.0018218,0.0018218,0.0018218
11,1793.89,0.71708,0.23738,0.00039,0.99161,0.98428,0.9944,0.88596,0.43627,0.17459,0.00056,0.001802,0.001802,0.001802
12,1921.95,0.71135,0.23242,0.00037,0.99233,0.98393,0.99457,0.88307,0.4287,0.17695,0.00054,0.0017822,0.0017822,0.0017822
13,2051.69,0.71566,0.23259,0.00037,0.99351,0.98304,0.99457,0.88726,0.42899,0.16416,0.00055,0.0017624,0.0017624,0.0017624
14,2180.3,0.70463,0.22904,0.00037,0.99109,0.98431,0.99455,0.88845,0.4196,0.15851,0.00053,0.0017426,0.0017426,0.0017426
15,2308.81,0.69772,0.22469,0.00036,0.99246,0.98398,0.99456,0.88333,0.41719,0.16172,0.00053,0.0017228,0.0017228,0.0017228
16,2436.56,0.6982,0.22568,0.00037,0.99266,0.98394,0.99461,0.88907,0.4349,0.1641,0.00056,0.001703,0.001703,0.001703
17,2566.21,0.69845,0.22521,0.00037,0.99226,0.9833,0.99447,0.88477,0.42028,0.16476,0.00054,0.0016832,0.0016832,0.0016832
18,2692.91,0.69167,0.22365,0.00036,0.99351,0.98332,0.99463,0.89004,0.41625,0.15616,0.00053,0.0016634,0.0016634,0.0016634
19,2819.67,0.68794,0.21925,0.00035,0.99291,0.98309,0.99465,0.88964,0.42089,0.15904,0.00053,0.0016436,0.0016436,0.0016436
20,3107.3,0.68465,0.21695,0.00035,0.99201,0.98551,0.99466,0.89281,0.40865,0.15144,0.00052,0.0016238,0.0016238,0.0016238
21,3373.68,0.68574,0.21624,0.00035,0.99266,0.98447,0.99463,0.88972,0.41567,0.15474,0.00053,0.001604,0.001604,0.001604
22,3505.26,0.68061,0.21491,0.00035,0.99166,0.98545,0.99443,0.89245,0.40565,0.15344,0.0005,0.0015842,0.0015842,0.0015842
23,3640.38,0.68649,0.21797,0.00035,0.9926,0.98471,0.99469,0.89101,0.40735,0.15052,0.00051,0.0015644,0.0015644,0.0015644
24,3838.35,0.68335,0.21179,0.00034,0.99312,0.98488,0.99469,0.89429,0.39515,0.14616,0.00049,0.0015446,0.0015446,0.0015446
25,4010.04,0.6665,0.20902,0.00034,0.99221,0.9856,0.99472,0.89594,0.39719,0.14617,0.0005,0.0015248,0.0015248,0.0015248
26,4351.43,0.66684,0.20903,0.00034,0.99391,0.98498,0.99473,0.89306,0.40418,0.15063,0.00052,0.001505,0.001505,0.001505
27,4481.15,0.66822,0.20914,0.00034,0.99187,0.98643,0.99469,0.89525,0.39359,0.14247,0.00049,0.0014852,0.0014852,0.0014852
28,4710.36,0.65959,0.20612,0.00033,0.99407,0.98479,0.99458,0.8954,0.39739,0.14425,0.0005,0.0014654,0.0014654,0.0014654
29,4838.94,0.66863,0.20928,0.00034,0.99352,0.98526,0.99475,0.89503,0.38994,0.14351,0.00048,0.0014456,0.0014456,0.0014456
30,4970.2,0.66419,0.20772,0.00034,0.99365,0.98519,0.99462,0.8949,0.39794,0.14369,0.0005,0.0014258,0.0014258,0.0014258
31,5101.15,0.65391,0.20464,0.00033,0.99326,0.98576,0.99473,0.89661,0.38824,0.14457,0.00048,0.001406,0.001406,0.001406
32,5230.29,0.64851,0.2033,0.00033,0.99372,0.98564,0.99461,0.89669,0.39663,0.14101,0.0005,0.0013862,0.0013862,0.0013862
33,5358.05,0.65627,0.20362,0.00032,0.99418,0.98554,0.99465,0.89661,0.38926,0.13971,0.00049,0.0013664,0.0013664,0.0013664
34,5488.2,0.64865,0.20039,0.00033,0.99365,0.98486,0.99468,0.89772,0.38377,0.14094,0.00047,0.0013466,0.0013466,0.0013466
35,5615.99,0.65328,0.20363,0.00032,0.99242,0.98754,0.99456,0.89724,0.38284,0.1388,0.00047,0.0013268,0.0013268,0.0013268
