epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
36,5745.18,0.6556,0.20171,0.00032,0.99346,0.98568,0.99478,0.8978,0.37842,0.13813,0.00046,0.001307,0.001307,0.001307
37,5874.96,0.65,0.20066,0.00032,0.99321,0.98682,0.99467,0.89898,0.37485,0.13492,0.00046,0.0012872,0.0012872,0.0012872
38,6004.89,0.64567,0.19817,0.00032,0.99268,0.98716,0.9948,0.89818,0.37738,0.13532,0.00047,0.0012674,0.0012674,0.0012674
39,6132.17,0.65236,0.19894,0.00032,0.992,0.98807,0.99457,0.89895,0.37466,0.13312,0.00046,0.0012476,0.0012476,0.0012476
40,6332.93,0.64114,0.19639,0.00032,0.99418,0.98608,0.99472,0.8989,0.3799,0.1353,0.00047,0.0012278,0.0012278,0.0012278
41,6698.19,0.63383,0.19371,0.00031,0.99223,0.98735,0.99458,0.89973,0.37513,0.13372,0.00046,0.001208,0.001208,0.001208
42,6907.25,0.64783,0.19843,0.00032,0.99327,0.98682,0.9946,0.90019,0.37223,0.13258,0.00045,0.0011882,0.0011882,0.0011882
43,7040.18,0.63405,0.19461,0.00032,0.99253,0.98741,0.99479,0.89936,0.37275,0.13256,0.00046,0.0011684,0.0011684,0.0011684
44,7221.96,0.6383,0.1954,0.00031,0.99353,0.98708,0.99476,0.89912,0.37302,0.13211,0.00046,0.0011486,0.0011486,0.0011486
45,7381.23,0.63253,0.1915,0.00031,0.99442,0.98604,0.99465,0.89944,0.37239,0.13209,0.00046,0.0011288,0.0011288,0.0011288
46,7580.9,0.63501,0.19282,0.00031,0.99491,0.9863,0.99484,0.89924,0.37346,0.13229,0.00046,0.001109,0.001109,0.001109
47,7733.41,0.63302,0.19342,0.00031,0.99262,0.98703,0.99459,0.89986,0.37346,0.13261,0.00046,0.0010892,0.0010892,0.0010892
48,7862.03,0.63264,0.19141,0.00031,0.99465,0.98679,0.99478,0.89934,0.3683,0.13051,0.00045,0.0010694,0.0010694,0.0010694
49,7990.94,0.63291,0.19089,0.0003,0.99342,0.98708,0.99472,0.90015,0.3702,0.12928,0.00045,0.0010496,0.0010496,0.0010496
50,8119.37,0.63636,0.1921,0.0003,0.99256,0.98842,0.99467,0.90233,0.36456,0.12979,0.00044,0.0010298,0.0010298,0.0010298
51,8248.56,0.62381,0.18699,0.0003,0.99346,0.98621,0.99471,0.90128,0.36809,0.12907,0.00045,0.00101,0.00101,0.00101
52,8376.35,0.62712,0.18931,0.00031,0.99217,0.98767,0.99474,0.90123,0.36738,0.12861,0.00045,0.0009902,0.0009902,0.0009902
53,8504.9,0.62449,0.18862,0.0003,0.99347,0.98689,0.99473,0.90258,0.36458,0.12664,0.00044,0.0009704,0.0009704,0.0009704
54,8634.44,0.62465,0.18826,0.0003,0.99354,0.98787,0.99483,0.90245,0.36681,0.12834,0.00045,0.0009506,0.0009506,0.0009506
55,8772.24,0.61768,0.18591,0.0003,0.99435,0.98689,0.99482,0.90074,0.3659,0.12818,0.00044,0.0009308,0.0009308,0.0009308
56,8948.92,0.61788,0.18519,0.0003,0.99352,0.98722,0.99484,0.9026,0.36337,0.12621,0.00044,0.000911,0.000911,0.000911
57,9086.64,0.62198,0.18753,0.00029,0.99269,0.98833,0.99473,0.90269,0.36359,0.1243,0.00044,0.0008912,0.0008912,0.0008912
58,9215.45,0.61997,0.18577,0.0003,0.99427,0.98649,0.99477,0.90265,0.36246,0.12553,0.00044,0.0008714,0.0008714,0.0008714
59,9345.49,0.62094,0.1861,0.00029,0.99446,0.98741,0.99479,0.90272,0.36414,0.1253,0.00044,0.0008516,0.0008516,0.0008516
60,9475.01,0.61099,0.18344,0.0003,0.99295,0.98861,0.99474,0.90286,0.36073,0.12424,0.00044,0.0008318,0.0008318,0.0008318
61,9604.18,0.6106,0.18236,0.00029,0.9938,0.98741,0.99473,0.90359,0.36011,0.12441,0.00044,0.000812,0.000812,0.000812
62,9734.5,0.60853,0.18194,0.00029,0.99299,0.9884,0.99458,0.9032,0.35966,0.12503,0.00044,0.0007922,0.0007922,0.0007922
63,9862.84,0.61324,0.18258,0.00029,0.99327,0.98774,0.99459,0.90348,0.35861,0.12443,0.00043,0.0007724,0.0007724,0.0007724
64,9992.14,0.61625,0.18412,0.00029,0.9946,0.98728,0.99479,0.90374,0.35839,0.12475,0.00043,0.0007526,0.0007526,0.0007526
65,10120.4,0.6059,0.18063,0.00029,0.99341,0.98885,0.99479,0.90369,0.36031,0.12415,0.00044,0.0007328,0.0007328,0.0007328
66,10248.7,0.60864,0.18221,0.00029,0.99275,0.98931,0.99482,0.90366,0.35589,0.12357,0.00043,0.000713,0.000713,0.000713
67,10376,0.60831,0.18141,0.00029,0.99393,0.98777,0.99475,0.90368,0.35593,0.12204,0.00043,0.0006932,0.0006932,0.0006932
68,10504.3,0.60135,0.17815,0.00029,0.99445,0.98734,0.99463,0.90374,0.35606,0.12275,0.00043,0.0006734,0.0006734,0.0006734
69,10633.2,0.598,0.17863,0.00028,0.99459,0.98728,0.99481,0.90312,0.35809,0.12453,0.00043,0.0006536,0.0006536,0.0006536
70,10760.2,0.60408,0.1792,0.00028,0.99439,0.98758,0.99483,0.90396,0.35472,0.12359,0.00043,0.0006338,0.0006338,0.0006338
71,10930.6,0.60479,0.17909,0.00028,0.99505,0.98783,0.99486,0.90377,0.35486,0.12274,0.00043,0.000614,0.000614,0.000614
72,11568.3,0.59914,0.17698,0.00028,0.99387,0.98781,0.99478,0.9038,0.35458,0.12204,0.00043,0.0005942,0.0005942,0.0005942
73,11693,0.60225,0.17977,0.00028,0.9942,0.98828,0.99467,0.90482,0.3541,0.12096,0.00043,0.0005744,0.0005744,0.0005744
74,11817.7,0.59803,0.1769,0.00028,0.99502,0.98728,0.9948,0.90411,0.3545,0.12233,0.00043,0.0005546,0.0005546,0.0005546
75,11943.1,0.59336,0.17574,0.00028,0.99389,0.98754,0.99476,0.90388,0.35339,0.12196,0.00043,0.0005348,0.0005348,0.0005348
76,12067.9,0.59533,0.17786,0.00028,0.99309,0.98893,0.99473,0.90482,0.35273,0.12189,0.00043,0.000515,0.000515,0.000515
77,12192.8,0.59184,0.17609,0.00028,0.99406,0.98795,0.99473,0.90399,0.3513,0.12044,0.00042,0.0004952,0.0004952,0.0004952
78,12317.3,0.59519,0.17724,0.00027,0.9942,0.98728,0.99462,0.90486,0.35179,0.12113,0.00043,0.0004754,0.0004754,0.0004754
79,12442.3,0.59261,0.17669,0.00028,0.99354,0.98813,0.99479,0.90527,0.35059,0.12104,0.00042,0.0004556,0.0004556,0.0004556
80,12567.6,0.59475,0.17699,0.00027,0.99328,0.98821,0.99476,0.90601,0.35146,0.12099,0.00042,0.0004358,0.0004358,0.0004358
81,12692.6,0.59239,0.17488,0.00027,0.99319,0.98826,0.99471,0.90587,0.35202,0.12143,0.00042,0.000416,0.000416,0.000416
82,12817.9,0.58861,0.17528,0.00027,0.99467,0.98767,0.99479,0.90518,0.35182,0.11993,0.00042,0.0003962,0.0003962,0.0003962
83,12943.3,0.59161,0.17473,0.00027,0.99444,0.98754,0.99482,0.90487,0.35099,0.11979,0.00042,0.0003764,0.0003764,0.0003764
84,13067.3,0.58463,0.17223,0.00027,0.99463,0.98735,0.99482,0.90605,0.35067,0.11902,0.00042,0.0003566,0.0003566,0.0003566
85,13192.5,0.586,0.17311,0.00027,0.99452,0.98783,0.99482,0.90703,0.35051,0.12003,0.00042,0.0003368,0.0003368,0.0003368
86,13317.3,0.58778,0.17397,0.00027,0.99416,0.98859,0.99474,0.90579,0.34922,0.11977,0.00042,0.000317,0.000317,0.000317
87,13442.1,0.58508,0.17279,0.00027,0.99459,0.98823,0.99478,0.90414,0.34865,0.11867,0.00042,0.0002972,0.0002972,0.0002972
88,13567.6,0.58347,0.17278,0.00027,0.99491,0.98769,0.99477,0.90596,0.34955,0.11775,0.00042,0.0002774,0.0002774,0.0002774
89,13693,0.58167,0.17169,0.00026,0.99494,0.98787,0.99478,0.90688,0.34811,0.11934,0.00042,0.0002576,0.0002576,0.0002576
90,13818.4,0.58073,0.17134,0.00026,0.99446,0.9888,0.99477,0.90675,0.34841,0.11874,0.00042,0.0002378,0.0002378,0.0002378
91,13938.5,0.53902,0.15912,0.00028,0.9942,0.98836,0.99468,0.9041,0.35219,0.12034,0.00042,0.000218,0.000218,0.000218
92,14055.2,0.53622,0.15782,0.00028,0.994,0.9885,0.99469,0.90413,0.352,0.11913,0.00042,0.0001982,0.0001982,0.0001982
93,14171.7,0.53196,0.15681,0.00027,0.99459,0.98812,0.99469,0.90592,0.35008,0.12008,0.00042,0.0001784,0.0001784,0.0001784
94,14287.9,0.53035,0.15626,0.00028,0.99518,0.98782,0.99466,0.90586,0.34931,0.11938,0.00042,0.0001586,0.0001586,0.0001586
95,14403.6,0.5284,0.15523,0.00028,0.99452,0.98844,0.99467,0.90593,0.34907,0.12004,0.00042,0.0001388,0.0001388,0.0001388
96,14519.3,0.53291,0.15781,0.00027,0.99472,0.98799,0.99471,0.90683,0.34841,0.11935,0.00042,0.000119,0.000119,0.000119
97,14636,0.52692,0.15495,0.00027,0.99465,0.98809,0.99469,0.90601,0.34877,0.11866,0.00042,9.92e-05,9.92e-05,9.92e-05
98,14752,0.52744,0.15528,0.00027,0.99462,0.988,0.9947,0.90595,0.34755,0.11875,0.00042,7.94e-05,7.94e-05,7.94e-05
99,14868.4,0.52643,0.15455,0.00027,0.99485,0.98788,0.99469,0.90513,0.34837,0.11893,0.00042,5.96e-05,5.96e-05,5.96e-05
100,14983.9,0.52865,0.1555,0.00027,0.99484,0.98794,0.99469,0.90509,0.34822,0.11854,0.00042,3.98e-05,3.98e-05,3.98e-05
